1.018 26.221
1.527 27.069
2.036 27.974
2.545 28.926
3.053 29.917
3.562 30.939
4.071 31.983
4.580 33.041
5.089 34.105
5.598 35.166
6.107 36.216
6.616 37.247
7.125 38.250
7.634 39.217
8.142 40.140
8.651 41.009
9.160 41.817
9.669 42.554
10.178 43.212
10.687 43.782
11.196 44.255
11.705 44.621
12.214 44.872
12.723 44.997
13.232 44.986
13.740 44.837
14.249 44.554
14.758 44.148
15.267 43.627
15.776 42.998
16.285 42.271
16.794 41.452
17.303 40.550
17.812 39.572
18.321 38.525
18.830 37.419
19.338 36.258
19.847 35.052
20.356 33.806
20.865 32.529
21.374 31.226
21.883 29.906
22.392 28.576
22.901 27.241
23.410 25.909
23.919 24.588
24.427 23.284
24.936 22.004
25.445 20.755
25.954 19.545
26.463 18.379
26.972 17.262
27.481 16.194
27.990 15.178
28.499 14.214
29.008 13.304
29.517 12.451
30.025 11.655
30.534 10.920
31.043 10.247
31.552 9.638
32.061 9.096
32.570 8.623
33.079 8.221
33.588 7.894
34.097 7.642
34.606 7.471
35.115 7.382
35.623 7.378
36.132 7.464
36.641 7.641
37.150 7.914
37.659 8.286
38.168 8.761
38.677 9.343
39.186 10.036
39.695 10.838
40.204 11.740
40.712 12.732
41.221 13.804
41.730 14.948
42.239 16.155
42.748 17.414
43.257 18.718
43.766 20.057
44.275 21.422
44.784 22.805
45.293 24.197
45.802 25.588
46.310 26.971
46.819 28.335
47.328 29.673
47.837 30.976
48.346 32.234
48.855 33.439
49.364 34.581
49.873 35.652
50.382 36.641
50.891 37.540
51.399 38.339
51.908 39.028
52.417 39.600
52.926 40.059
53.435 40.408
53.944 40.653
54.453 40.800
54.962 40.852
55.471 40.815
55.980 40.692
56.489 40.488
56.997 40.208
57.506 39.854
58.015 39.432
58.524 38.944
59.033 38.396
59.542 37.789
60.051 37.128
60.560 36.417
61.069 35.658
61.578 34.856
62.087 34.012
62.595 33.131
63.104 32.215
63.613 31.268
64.122 30.292
64.631 29.291
65.140 28.267
65.649 27.225
66.158 26.169
66.667 25.106
67.176 24.039
67.684 22.973
68.193 21.914
68.702 20.867
69.211 19.837
69.720 18.828
70.229 17.847
70.738 16.897
71.247 15.984
71.756 15.114
72.265 14.291
72.774 13.521
73.282 12.810
73.791 12.163
74.300 11.586
74.809 11.084
75.318 10.663
75.827 10.329
76.336 10.089
76.845 9.949
77.354 9.915
77.863 9.993
78.371 10.186
78.880 10.488
79.389 10.890
79.898 11.384
80.407 11.964
80.916 12.621
81.425 13.349
81.934 14.140
82.443 14.987
82.952 15.884
83.461 16.822
83.969 17.796
84.478 18.799
84.987 19.823
85.496 20.863
86.005 21.911
86.514 22.961
87.023 24.006
87.532 25.040
88.041 26.055
88.550 27.046
89.059 28.004
89.567 28.924
90.076 29.799
90.585 30.621
